experiment_phase,trial,tone,colour,shape,smell,US,CR
1,1,1,1,1,1,1,1
1,2,1,1,1,1,1,1
1,3,1,1,1,1,1,1
1,4,1,1,1,1,1,1
1,5,1,1,1,1,1,1
1,6,1,1,1,1,1,1
1,7,1,1,1,1,1,1
1,8,1,1,1,1,1,1
1,9,1,1,1,1,1,1
1,10,1,1,1,1,1,1
1,11,1,1,1,1,1,1
1,12,1,1,1,1,1,1
1,13,1,1,1,1,1,1
1,14,1,1,1,1,1,1
1,15,1,1,1,1,1,1
1,16,1,1,1,1,1,1
1,17,1,1,1,1,1,1
1,18,1,1,1,1,1,1
1,19,1,1,1,1,1,1
1,20,1,1,1,1,1,1
2,1,1,0,0,0,0,0
2,2,1,0,0,0,0,0
2,3,1,0,0,0,0,0
2,4,1,0,0,0,0,0
2,5,1,0,0,0,0,0
2,6,1,0,0,0,0,0
2,7,1,0,0,0,0,0
2,8,1,0,0,0,0,0
2,9,1,0,0,0,0,0
2,10,1,0,0,0,0,0
2,11,1,0,0,0,0,0
2,12,1,0,0,0,0,0
2,13,1,0,0,0,0,0
2,14,1,0,0,0,0,0
2,15,1,0,0,0,0,0
2,16,1,0,0,0,0,0
2,17,1,0,0,0,0,0
2,18,1,0,0,0,0,0
2,19,1,0,0,0,0,0
2,20,1,0,0,0,0,0
2,21,1,0,0,0,0,0
2,22,1,0,0,0,0,0
2,23,1,0,0,0,0,0
2,24,1,0,0,0,0,0
2,25,1,0,0,0,0,0
2,26,1,0,0,0,0,0
2,27,1,0,0,0,0,0
2,28,1,0,0,0,0,0
2,29,1,0,0,0,0,0
2,30,1,0,0,0,0,0
2,31,1,0,0,0,0,0
2,32,1,0,0,0,0,0
2,33,1,0,0,0,0,0
2,34,1,0,0,0,0,0
2,35,1,0,0,0,0,0
2,36,1,0,0,0,0,0
2,37,1,0,0,0,0,0
2,38,1,0,0,0,0,0
2,39,1,0,0,0,0,0
2,40,1,0,0,0,0,0
2,41,1,0,0,0,0,0
2,42,1,0,0,0,0,0
2,43,1,0,0,0,0,0
2,44,1,0,0,0,0,0
2,45,1,0,0,0,0,0
2,46,1,0,0,0,0,0
2,47,1,0,0,0,0,0
2,48,1,0,0,0,0,0
2,49,1,0,0,0,0,0
2,50,1,0,0,0,0,0
3,1,1,0,0,0,0,0
3,2,1,0,0,0,0,0
3,3,1,0,0,0,0,0
3,4,1,0,0,0,0,0
3,5,1,0,0,0,0,0
3,6,1,0,0,0,0,0
3,7,1,0,0,0,0,0
3,8,1,0,0,0,0,0
3,9,1,0,0,0,0,0
3,10,1,0,0,0,0,0
3,11,1,0,0,0,0,0
3,12,1,0,0,0,0,0
3,13,1,0,0,0,0,0
3,14,1,0,0,0,0,0
3,15,1,0,0,0,0,0
3,16,1,0,0,0,0,0
3,17,1,0,0,0,0,0
3,18,1,0,0,0,0,0
3,19,1,0,0,0,0,0
3,20,1,0,0,0,0,0
